"SITE_ID","VISIT_NO","SITE_TYPE","STATE_NAME","NTL","PTL","CHLA","PCT_DEVELOPED_BUFR","PCT_FOREST_BUFR","PCT_AGRIC_BUFR","PCT_WETLAND_BUFR"
"NLA06608-0001",1,"PROB_Lake","Montana",151,6,0.24,0,35.1,0,0
"NLA06608-0002",1,"PROB_Lake","South Carolina",695,36,3.84,0,31.1,0,62.9
"NLA06608-0002",1,"PROB_Lake","South Carolina",507,25,20.053,0,31.1,0,62.9
"NLA06608-0002",1,"PROB_Lake","South Carolina",469,22,20.88,0,31.1,0,62.9
"NLA06608-0002",2,"PROB_Lake","South Carolina",695,36,3.84,0,31.1,0,62.9
"NLA06608-0002",2,"PROB_Lake","South Carolina",507,25,20.053,0,31.1,0,62.9
"NLA06608-0002",2,"PROB_Lake","South Carolina",469,22,20.88,0,31.1,0,62.9
"NLA06608-0003",1,"PROB_Lake","Texas",738,43,16.96,5.9,55.7,0,1
"NLA06608-0003",1,"PROB_Lake","Texas",843,50,12.864,5.9,55.7,0,1
"NLA06608-0003",2,"PROB_Lake","Texas",738,43,16.96,5.9,55.7,0,1
"NLA06608-0003",2,"PROB_Lake","Texas",843,50,12.864,5.9,55.7,0,1
"NLA06608-0004",1,"PROB_Lake","Colorado",344,18,4.6,0,19.3,2.2,2.8
"NLA06608-0004",1,"PROB_Lake","Colorado",584,44,12.42,0,19.3,2.2,2.8
"NLA06608-0004",1,"PROB_Lake","Colorado",596,46,14.72,0,19.3,2.2,2.8
"NLA06608-0004",2,"PROB_Lake","Colorado",344,18,4.6,0,19.3,2.2,2.8
"NLA06608-0004",2,"PROB_Lake","Colorado",584,44,12.42,0,19.3,2.2,2.8
"NLA06608-0004",2,"PROB_Lake","Colorado",596,46,14.72,0,19.3,2.2,2.8
"NLA06608-0005",1,"PROB_Lake","Idaho",85,4,1.205,0,35.8,0,12.5
"NLA06608-0005",1,"PROB_Lake","Idaho",48,2,0.45,0,35.8,0,12.5
"NLA06608-0005",1,"PROB_Lake","Idaho",68,3,0.403,0,35.8,0,12.5
"NLA06608-0005",2,"PROB_Lake","Idaho",85,4,1.205,0,35.8,0,12.5
"NLA06608-0005",2,"PROB_Lake","Idaho",48,2,0.45,0,35.8,0,12.5
"NLA06608-0005",2,"PROB_Lake","Idaho",68,3,0.403,0,35.8,0,12.5
"NLA06608-0006",1,"PROB_Lake","Connecticut",184,7,4.08,2.9,54,5.1,0
"NLA06608-0006",1,"PROB_Lake","Connecticut",229,6,2.752,2.9,54,5.1,0
"NLA06608-0006",1,"PROB_Lake","Connecticut",223,4,3.224,2.9,54,5.1,0
"NLA06608-0006",2,"PROB_Lake","Connecticut",184,7,4.08,2.9,54,5.1,0
"NLA06608-0006",2,"PROB_Lake","Connecticut",229,6,2.752,2.9,54,5.1,0
"NLA06608-0006",2,"PROB_Lake","Connecticut",223,4,3.224,2.9,54,5.1,0
"NLA06608-0007",1,"PROB_Lake","Wisconsin",493,8,2.432,5.6,52.8,12.6,3.1
"NLA06608-0007",1,"PROB_Lake","Wisconsin",523,7,4.088,5.6,52.8,12.6,3.1
"NLA06608-0007",2,"PROB_Lake","Wisconsin",493,8,2.432,5.6,52.8,12.6,3.1
"NLA06608-0007",2,"PROB_Lake","Wisconsin",523,7,4.088,5.6,52.8,12.6,3.1
"NLA06608-0008",1,"PROB_Lake","Iowa",801,66,30.24,6.2,50.4,1.9,4.8
"NLA06608-0008",1,"PROB_Lake","Iowa",1525,79,148.2,6.2,50.4,1.9,4.8
"NLA06608-0008",2,"PROB_Lake","Iowa",801,66,30.24,6.2,50.4,1.9,4.8
"NLA06608-0008",2,"PROB_Lake","Iowa",1525,79,148.2,6.2,50.4,1.9,4.8
"NLA06608-0010",1,"PROB_Lake","Michigan",473,10,4.384,30.3,21,0.1,11
"NLA06608-0010",1,"PROB_Lake","Michigan",549,10,3.32,30.3,21,0.1,11
"NLA06608-0010",1,"PROB_Lake","Michigan",485,10,3.328,30.3,21,0.1,11
"NLA06608-0010",2,"PROB_Lake","Michigan",473,10,4.384,30.3,21,0.1,11
"NLA06608-0010",2,"PROB_Lake","Michigan",549,10,3.32,30.3,21,0.1,11
"NLA06608-0010",2,"PROB_Lake","Michigan",485,10,3.328,30.3,21,0.1,11
"NLA06608-0012",1,"PROB_Lake","Oklahoma",1026,159,4.9,7.6,24.7,2.6,0
"NLA06608-0012",1,"PROB_Lake","Oklahoma",1052,142,21.28,7.6,24.7,2.6,0
"NLA06608-0012",2,"PROB_Lake","Oklahoma",1026,159,4.9,7.6,24.7,2.6,0
"NLA06608-0012",2,"PROB_Lake","Oklahoma",1052,142,21.28,7.6,24.7,2.6,0
"NLA06608-0013",1,"PROB_Lake","New Jersey",384,28,16.027,38.5,16.9,1.5,33.8
"NLA06608-0013",1,"PROB_Lake","New Jersey",233,20,9.024,38.5,16.9,1.5,33.8
"NLA06608-0013",1,"PROB_Lake","New Jersey",264,20,8.8,38.5,16.9,1.5,33.8
"NLA06608-0013",2,"PROB_Lake","New Jersey",384,28,16.027,38.5,16.9,1.5,33.8
"NLA06608-0013",2,"PROB_Lake","New Jersey",233,20,9.024,38.5,16.9,1.5,33.8
"NLA06608-0013",2,"PROB_Lake","New Jersey",264,20,8.8,38.5,16.9,1.5,33.8
